Temperature(℃),Time(h),GMP Concentration(mM),H2O,DES,EtOH,CD Wavelength(nm) ,CD,CD=0,*-10,*+10,cotton effect,CPL Wavelength(nm) ,CPL max,g(lum)-CPL max, Dcmax Wavelength(nm),DC max(V),g(lum)-DC max
140,4,100,2,1,1,432.4,-440.465,303.4,145.883,-397.351,2,432.8,644.812,0.090973,432.4,0.495094,0.0908469
140,4,100,2,1,1,432.4,-440.465,303.4,145.883,-397.351,2,431.4,594.88,0.0833842,431.8,0.498298,0.0826306
140,4,100,2,1,1,432.4,-440.465,303.4,145.883,-397.351,2,436,624.826,0.0882111,432,0.499114,0.0861149
,,,,,,,,,,,,,,,,,
140,4,200,2,1,1,289,91.9749,0,0,0,1,450.2,272.245,0.03882,444.8,0.495281,0.0377339
140,4,200,2,1,1,289,91.9749,0,0,0,1,448.6,202.884,0.0298353,441.4,0.483951,0.0279153
140,4,200,2,1,1,289,91.9749,0,0,0,1,451.6,264.425,0.038998,441.2,0.493254,0.0367959
,,,,,,,,,,,,,,,,,
140,4,300,2,1,1,295.8,36.8306,255.2,-6.90983,15.0524,1,435.2,209.96,0.0293322,431,0.505123,0.0280322
140,4,300,2,1,1,295.8,36.8306,255.2,-6.90983,15.0524,1,433.8,183.579,0.0265421,430.4,0.485805,0.0262805
140,4,300,2,1,1,295.8,36.8306,255.2,-6.90983,15.0524,1,437.2,180.2,0.0273737,431.6,0.469663,0.0254348
140,4,300,2,1,1,295.8,36.8306,255.2,-6.90983,15.0524,1,432.4,197.052,0.0288803,430.2,0.47727,0.027885
,,,,,,,,,,,,,,,,,
140,4,400,2,1,1,303.8,52.9809,267.6,-12.315,15.1485,1,451.6,133.807,0.0198251,438.4,0.494255,0.0157483
140,4,400,2,1,1,303.8,52.9809,267.6,-12.315,15.1485,1,448.4,124.966,0.0185132,438.4,0.490035,0.0171455
140,4,400,2,1,1,303.8,52.9809,267.6,-12.315,15.1485,1,451.8,99.6684,0.0147912,440.6,0.492596,0.0128631
140,4,400,2,1,1,303.8,52.9809,267.6,-12.315,15.1485,1,437.6,116.024,0.0166217,440,0.488796,0.0161403
,,,,,,,,,,,,,,,,,
140,4,500,2,1,1,448.6,165.405,288.2,-10.7843,17.2076,1,450.6,82.4824,0.011991,441,0.500013,0.0115195
140,4,500,2,1,1,448.6,165.405,288.2,-10.7843,17.2076,1,454.2,96.7221,0.0136258,445.4,0.508877,0.00982843
140,4,500,2,1,1,448.6,165.405,288.2,-10.7843,17.2076,1,472.8,108.982,0.0180987,449.4,0.501903,0.012554
,,,,,,,,,,,,,,,,,
140,4,50,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
140,4,100,1,2,1,316.2,-47.7375,305.4,72.3237,-47.5736,2,430,-69.3193,-0.00956392,434.8,0.512106,-0.00881074
140,4,100,1,2,1,316.2,-47.7375,305.4,72.3237,-47.5736,2,432.6,-71.915,-0.00976294,434.8,0.514416,-0.00849144
140,4,100,1,2,1,316.2,-47.7375,305.4,72.3237,-47.5736,2,444,-60.7446,-0.00906051,436,0.480801,-0.00813148
140,4,100,1,2,1,316.2,-47.7375,305.4,72.3237,-47.5736,2,436,-64.8039,-0.00907914,435.4,0.498881,-0.00891438
,,,,,,,,,,,,,,,,,
140,4,200,1,2,1,288.6,324.307,306.6,281.644,-150.695,2,419.4,44.0956,0.00780974,437,0.478566,0.00321146
140,4,200,1,2,1,288.6,324.307,306.6,281.644,-150.695,2,416.6,51.113,0.00942394,435.8,0.471065,0.00451546
140,4,200,1,2,1,288.6,324.307,306.6,281.644,-150.695,2,438.6,-45.738,-0.00686768,436.4,0.4666072,-0.0058236
140,4,200,1,2,1,288.6,324.307,306.6,281.644,-150.695,2,454.8,-44.0445,-0.00776701,436.2,0.469207,-0.00524891
140,4,200,1,2,1,288.6,324.307,306.6,281.644,-150.695,2,451.6,-27.7565,-0.0047718,435.2,0.465205,-0.00231438
,,,,,,,,,,,,,,,,,
140,4,300,1,2,1,279.8,365.863,306,289.669,-239.989,2,439.2,728.354,0.103658,443,0.49475,0.101546
140,4,300,1,2,1,279.8,365.863,306,289.669,-239.989,2,439,735.6,0.105607,443.4,0.490962,0.103601
140,4,300,1,2,1,279.8,365.863,306,289.669,-239.989,2,445,935.695,0.131309,446.4,0.497666,0.130386
140,4,300,1,2,1,279.8,365.863,306,289.669,-239.989,2,440.6,869.599,0.124538,444.4,0.490755,0.122872
140,4,300,1,2,1,279.8,365.863,306,289.669,-239.989,2,440,866.117,0.125401,442.8,0.484004,0.124348
,,,,,,,,,,,,,,,,,
140,4,400,1,2,1,298,298.355,332,81.3285,-76.8633,2,448.4,1001.54,0.141555,449,0.494304,0.141395
140,4,400,1,2,1,298,298.355,332,81.3285,-76.8633,2,446.2,941.95,0.132415,446.4,0.49665,0.13237
140,4,400,1,2,1,298,298.355,332,81.3285,-76.8633,2,454,945.805,0.135302,454,0.488014,0.135302
140,4,400,1,2,1,298,298.355,332,81.3285,-76.8633,2,448.2,983.016,0.139334,453.2,0.495785,0.137531
,,,,,,,,,,,,,,,,,
140,4,500,1,2,1,326.4,1357.14,0,0,0,1,465,510.227,0.0669412,461.8,0.534259,0.0651558
140,4,500,1,2,1,326.4,1357.14,0,0,0,1,464.6,489.704,0.0692037,461.8,0.495645,0.0658367
140,4,500,1,2,1,326.4,1357.14,0,0,0,1,452.4,340.433,0.0479144,457.2,0.501935,0.0468209
140,4,500,1,2,1,326.4,1357.14,0,0,0,1,451.8,446.269,0.0588611,447.6,0.534626,0.0573882
140,4,500,1,2,1,326.4,1357.14,0,0,0,1,451.2,370.088,0.052119,448.2,0.498075,0.0514453
,,,,,,,,,,,,,,,,,
140,4,50,1,1,2,298.4,63.6919,0,0,0,1,437.2,-98.0769,-0.0123571,432.6,0.565035,-0.0107037
140,4,50,1,1,2,298.4,63.6919,0,0,0,1,439.8,-81.0844,-0.0120564,435,0.4795,-0.00776721
140,4,50,1,1,2,298.4,63.6919,0,0,0,1,434.4,-67.2302,-0.0106457,434.6,0.440941,-0.0102902
140,4,50,1,1,2,298.4,63.6919,0,0,0,1,434.2,-97.9708,-0.0160791,434,0.4225409,-0.0152437
